Dataset,ALSTM-FCN,LSTM-FCN,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet
Adiac,0.7954,0.86189,0.8312,0.611,0.604,0.76471,0.5632,0.76982,0.78261,0.66496,0.79028,0.75200,0.85700,0.82600
ArrowHead,0.82286,0.89714,0.85714,0.8,0.663,0.83429,0.84571,0.75429,0.73714,0.81143,0.81143,0.82300,0.88000,0.81700
Beef,0.8,0.8,0.76667,0.667,0.633,0.8,0.76,0.56667,0.9,0.63333,0.86667,0.83300,0.75000,0.76700
BeetleFly,0.9,0.9,0.95,0.7,0.7,0.9,0.8,0.8,0.9,0.75,0.8,0.85000,0.95000,0.80000
BirdChicken,0.95,0.95,0.8,0.7,0.75,0.95,0.8,0.9,0.8,0.8,0.9,0.80000,0.95000,0.90000
car,0.91667,0.95,0.86667,0.767,0.733,0.83333,0.76667,0.78333,0.91667,0.83333,0.9,0.83300,0.91700,0.93300
CBF,0.99444,0.99556,0.98333,0.994,0.997,0.99778,0.9944,0.98778,0.97444,0.99778,0.99556,0.86000,1.00000,0.99400
ChlorineConcentration,0.79167,0.80339,0.7526,0.65,0.648,0.66094,0.6514,0.69245,0.69974,0.65625,0.72708,0.87200,0.84300,0.82800
CinC_ECG_torso,0.82899,0.87899,0.99348,0.93,0.651,0.88696,0.833,0.71232,0.95435,0.94203,0.99493,0.84200,0.81300,0.77100
Coffee,1,1,1,1,1,1,1,1,0.96429,1,1,1.00000,1.00000,1.00000
Computers,0.844,0.836,0.656,0.62,0.7,0.756,0.584,0.756,0.736,0.708,0.74,0.54000,0.84800,0.82400
Cricket_X,0.77692,0.78205,0.7641,0.772,0.754,0.7359,0.7908,0.70513,0.77179,0.81282,0.80769,0.56900,0.81500,0.82100
Cricket_Y,0.78462,0.77692,0.78974,0.762,0.744,0.75385,0.7513,0.7359,0.77949,0.80513,0.82564,0.59500,0.79200,0.80500
Cricket_Z,0.79487,0.81795,0.78718,0.746,0.754,0.74615,0.7995,0.71538,0.78718,0.78205,0.81538,0.59200,0.81300,0.81300
DiatomSizeReduction,0.93791,0.94444,0.88562,0.935,0.967,0.93137,0.9667,0.89869,0.92484,0.94444,0.9281,0.96400,0.93000,0.93100
DistalPhalanxOutlineAgeGroup,0.8275,0.8325,0.76978,0.626,0.77,0.77,0.77899,0.78261,0.77536,0.72826,0.76087,0.82700,0.83500,0.79800
DistalPhalanxOutlineCorrect,0.81167,0.80667,0.77899,0.725,0.717,0.739,0.71942,0.71223,0.76978,0.69065,0.7482,0.81000,0.81200,0.82000
DistalPhalanxTW,0.7925,0.7875,0.67626,0.633,0.59,0.705,0.6259,0.67626,0.66187,0.64748,0.69784,0.74700,0.79000,0.74000
Earthquakes,0.79814,0.80435,0.7482,0.727,0.719,0.748,0.74101,0.7482,0.74101,0.74101,0.7482,0.79200,0.80100,0.78600
ECG200,0.9,0.87,0.85,0.88,0.77,0.87,0.874,0.84,0.83,0.88,0.88,0.92000,0.90000,0.87000
ECG5000,0.93956,0.94333,0.94822,0.925,0.75,0.94133,0.93222,0.93956,0.94378,0.93867,0.946,0.93500,0.94100,0.93100
ECGFiveDays,0.99071,0.99187,1,0.797,0.768,1,1,0.87689,0.98374,0.81998,0.99884,0.97000,0.98500,0.95500
ElectricDevices,0.73324,0.74673,0.73285,0.625,0.601,0.79925,0.58747,0.7025,0.74698,0.66295,0.71327,0.58000,0.72300,0.72800
FaceAll,0.93018,0.92189,0.78698,0.808,0.808,0.78166,0.7825,0.74438,0.7787,0.84852,0.91775,0.88500,0.92900,0.83400
FaceFour,0.94318,0.94318,1,0.886,0.83,1,0.9522,1,0.85227,0.90909,0.89773,0.83000,0.93200,0.93200
FacesUCR,0.93854,0.9361,0.9522,0.912,0.905,0.95707,0.9413,0.86683,0.90585,0.94488,0.94244,0.81500,0.94800,0.95800
FiftyWords,0.67473,0.8022,0.81099,0.765,0.69,0.70549,0.7681,0.75824,0.70549,0.81978,0.7978,0.71200,0.67900,0.72700
Fish,0.96571,0.95429,0.96571,0.846,0.823,0.98857,0.9337,0.83429,0.98857,0.96571,0.98286,0.87400,0.97100,0.98900
FordA,0.91003,0.93196,0.97273,0.691,0.555,0.914,0.95682,0.85,0.97121,0.73788,0.95682,0.76900,0.90600,0.92800
FordB,0.88421,0.89494,0.8321,0.607,0.62,0.82,0.91728,0.59877,0.80741,0.66173,0.8037,0.62900,0.88300,0.90000
Gun_Point,1,1,1,0.913,0.907,1,1,0.98667,1,0.99333,1,0.93300,1.00000,0.99300
Ham,0.72381,0.73333,0.65714,0.6,0.467,0.66667,0.66667,0.7619,0.68571,0.57143,0.64762,0.71400,0.76200,0.78100
HandOutlines,0.824,0.865,0.94865,0.862,0.881,0.911,0.48108,0.85405,0.93243,0.88919,0.91892,0.80700,0.77600,0.86100
Haptics,0.5,0.48701,0.38636,0.412,0.377,0.46104,0.4682,0.49026,0.52273,0.39286,0.52273,0.46100,0.55100,0.50600
Herring,0.64063,0.65625,0.65625,0.531,0.531,0.54688,0.625,0.64063,0.67188,0.57813,0.625,0.68700,0.70300,0.59400
InlineSkate,0.41273,0.48909,0.61273,0.387,0.384,0.51636,0.4273,0.38545,0.37273,0.46,0.49455,0.35100,0.41100,0.36500
InsectWingbeatSound,0.40354,0.65657,0.6404,0.578,0.355,0.52323,0.60606,0.62475,0.62677,0.59495,0.65253,0.63100,0.40200,0.53100
ItalyPowerDemand,0.95918,0.9621,0.95141,0.955,0.95,0.90865,0.9695,0.88338,0.94752,0.9621,0.96113,0.96600,0.97000,0.96000
LargeKitchenAppliances,0.90667,0.88533,0.68267,0.795,0.795,0.76533,0.70133,0.528,0.85867,0.81067,0.84533,0.48000,0.89600,0.89300
Lighting2,0.7541,0.78689,0.55738,0.869,0.869,0.83607,0.823,0.7377,0.7377,0.88525,0.86885,0.72100,0.80300,0.75400
Lighting7,0.76712,0.79452,0.71233,0.712,0.726,0.68493,0.8027,0.72603,0.72603,0.76712,0.80822,0.64400,0.86300,0.83600
MALLAT,0.97015,0.97313,0.96546,0.914,0.934,0.93817,0.9543,0.96034,0.96418,0.93987,0.95394,0.93600,0.98000,0.97900
Meat,0.91667,0.98333,0.91667,0.933,0.933,0.9,0.73333,0.93333,0.85,0.93333,0.91667,0.93300,0.96700,1.00000
MedicalImages,0.77105,0.78947,0.74079,0.747,0.737,0.71842,0.7295,0.70526,0.66974,0.74211,0.75789,0.72900,0.79200,0.77200
MiddlePhalanxOutlineAgeGroup,0.755,0.7525,0.6039,0.519,0.5,0.565,0.78007,0.81443,0.79381,0.78351,0.80412,0.73500,0.76800,0.76000
MiddlePhalanxOutlineCorrect,0.83333,0.83167,0.80756,0.766,0.698,0.77,0.57143,0.57792,0.64286,0.55844,0.63636,0.76000,0.79500,0.79300
MiddlePhalanxTW,0.60902,0.60902,0.53896,0.506,0.506,0.526,0.50649,0.5974,0.51948,0.51299,0.57143,0.60900,0.61200,0.60700
MoteStrain,0.92812,0.92971,0.9353,0.866,0.835,0.87859,0.9129,0.90335,0.89696,0.88259,0.9369,0.86900,0.95000,0.89500
NonInvasiveFatalECG_Thorax1,0.96031,0.96183,0.92875,0.811,0.79,0.83817,0.8692,0.84224,0.94962,0.8458,0.9313,0.94200,0.96100,0.94800
NonInvasiveFatalECG_Thorax2,0.95064,0.95674,0.94148,0.88,0.865,0.90076,0.9114,0.86158,0.95115,0.91349,0.94555,0.94300,0.95500,0.95100
OliveOil,0.8,0.73333,0.93333,0.867,0.833,0.86667,0.44,0.83333,0.9,0.86667,0.9,0.40000,0.83300,0.86700
OSULeaf,0.9876,0.98347,0.89669,0.612,0.591,0.95455,0.8182,0.76033,0.96694,0.80579,0.96694,0.57000,0.98800,0.97900
PhalangesOutlinesCorrect,0.82751,0.82751,0.81702,0.761,0.728,0.77156,0.76457,0.82984,0.7634,0.77273,0.7704,0.83000,0.82600,0.82500
Phoneme,0.34494,0.3249,0.32648,0.227,0.228,0.26477,0.21835,0.27637,0.32068,0.30485,0.34916,0.09800,0.34500,0.32400
plane,1,1,1,1,1,1,1,1,1,1,1,0.98100,1.00000,1.00000
ProximalPhalanxOutlineAgeGroup,0.85854,0.86829,0.84878,0.785,0.805,0.8488,0.8488,0.87285,0.88316,0.80756,0.86942,0.82400,0.84900,0.84900
ProximalPhalanxOutlineCorrect,0.91753,0.91065,0.89691,0.79,0.784,0.83415,0.83415,0.84878,0.8439,0.80488,0.85366,0.88700,0.90000,0.91800
ProximalPhalanxTW,0.8225,0.8175,0.80976,0.756,0.756,0.815,0.77561,0.80976,0.80488,0.76585,0.78049,0.79700,0.81000,0.80700
RefrigerationDevices,0.51467,0.52267,0.53867,0.44,0.464,0.49867,0.51467,0.472,0.58133,0.43733,0.54667,0.37100,0.53300,0.52800
ScreenType,0.63733,0.61867,0.54667,0.411,0.397,0.464,0.42933,0.50933,0.52,0.44533,0.54667,0.40800,0.66700,0.70700
ShapeletSim,0.97778,0.98333,1,0.7,0.65,1,0.95,0.96111,0.95556,0.81667,0.96111,0.48300,0.86700,1.00000
ShapesAll,0.89,0.89667,0.91833,0.802,0.768,0.90833,0.76833,0.185,0.84167,0.86667,0.89167,0.77500,0.89800,0.91200
SmallKitchenAppliances,0.792,0.74667,0.78933,0.672,0.643,0.72533,0.664,0.672,0.792,0.696,0.776,0.38900,0.80300,0.79700
SonyAIBORobot Surface,0.96672,0.9584,0.82363,0.696,0.725,0.63228,0.8974,0.79534,0.84359,0.70383,0.84526,0.72700,0.96800,0.98500
SonyAIBORobot SurfaceII,0.98006,0.97272,0.93494,0.859,0.831,0.85939,0.9184,0.77754,0.93389,0.87828,0.95173,0.83900,0.96200,0.96200
StarlightCurves,0.96697,0.96588,0.97729,0.905,0.907,0.97778,0.9665,0.97705,0.97851,0.92606,0.9796,0.95700,0.96700,0.97500
Strawberry,0.97553,0.96248,0.97568,0.946,0.941,0.976,0.91081,0.95405,0.96216,0.94595,0.95135,0.96700,0.96900,0.95800
SwedishLeaf,0.9712,0.976,0.9664,0.846,0.792,0.9216,0.913,0.9152,0.928,0.9152,0.9552,0.89300,0.96600,0.95800
Symbols,0.97085,0.98292,0.96181,0.938,0.95,0.96683,0.9644,0.94573,0.88241,0.9598,0.96382,0.85300,0.96200,0.87200
synthetic_control,0.98333,0.98667,0.99333,0.983,0.993,0.96667,0.9927,0.99333,0.98333,1,1,0.95000,0.99000,1.00000
ToeSegmentation1,0.98684,0.98246,0.94737,0.75,0.772,0.9386,0.93421,0.7807,0.96491,0.82895,0.97368,0.60100,0.96900,0.96500
ToeSegmentation2,0.91539,0.90769,0.90769,0.908,0.838,0.96154,0.91538,0.8,0.90769,0.89231,0.91538,0.74600,0.91500,0.86200
Trace,0.25,0.25,1,0.99,1,1,1,0.98,1,0.99,1,0.82000,1.00000,1.00000
Two_Patterns,0.8755,0.99475,0.98975,0.998,1,0.98068,0.997,0.86567,0.99737,0.99298,0.99298,0.88600,0.89700,1.00000
TwoLeadECG,1,0.99912,0.99824,0.868,0.904,0.993,0.9974,0.97625,0.955,1,1,0.85300,1.00000,1.00000
uWaveGestureLibrary_X,0.76996,0.84031,0.8096,0.773,0.728,0.76214,0.7998,0.83082,0.8029,0.80542,0.82189,0.76800,0.75400,0.78700
uWaveGestureLibrary_Y,0.66974,0.756,0.72473,0.699,0.634,0.68509,0.7129,0.73618,0.73032,0.72557,0.75851,0.70300,0.72500,0.66800
uWaveGestureLibrary_Z,0.74204,0.76494,0.76996,0.678,0.658,0.69486,0.7315,0.77247,0.74846,0.72362,0.75042,0.70500,0.72900,0.75500
UWaveGestureLibraryAll,0.82719,0.95785,0.95031,0.966,0.892,0.93886,0.95338,0.9263,0.94221,0.96845,0.96427,0.95400,0.82600,0.86800
wafer,0.99757,0.99805,1,0.995,0.98,0.99481,0.9962,0.99513,1,0.9974,0.99984,0.99600,0.99700,0.99700
Wine,0.77778,0.72222,0.85185,0.611,0.574,0.74074,0.5,0.61111,0.7963,0.57407,0.64815,0.79600,0.88900,0.79600
WordsSynonyms,0.53762,0.67085,0.72414,0.748,0.649,0.63793,0.6602,0.68809,0.57053,0.779,0.75705,0.59400,0.58000,0.63200
Worms,0.61326,0.59116,0.80519,0.532,0.584,0.74,0.61039,0.68831,0.74026,0.66234,0.62338,0.34300,0.66900,0.61900
WormsTwoClass,0.78453,0.77901,0.80519,0.584,0.623,0.792,0.72727,0.75325,0.83117,0.68831,0.80519,0.59700,0.72900,0.73500
yoga,0.88333,0.90733,0.909,0.844,0.836,0.91833,0.8499,0.81933,0.81767,0.879,0.87667,0.85500,0.84500,0.85800
