Classes,NbTrain,NbTest,SequenceLength,Type,Diff_Gt_25_Pct,ModelWithAttention
37,390,391,176,Image Outline,1,1
3,36,175,251,Image Outline,0,1
5,30,30,470,Sensor Readings,1,1
2,20,20,512,Image Outline,1,1
2,20,20,512,Image Outline,1,1
4,60,60,512,Image Outline,1,0
3,30,900,128,Synthetic,0,0
3,467,3840,166,Sensor Readings,0,1
4,40,1380,1639,Sensor Readings,1,0
2,28,28,286,Sensor Readings,0,1
2,250,250,720,Sensor Readings,1,0
12,390,390,300,Motion Sensors,0,0
12,390,390,300,Motion Sensors,0,0
12,390,390,300,Motion Sensors,0,0
4,16,306,345,Image Outline,0,1
3,400,139,80,Image Outline,0,0
2,600,276,80,Image Outline,0,0
6,400,139,80,Image Outline,0,0
2,322,139,512,Sensor Readings,0,0
2,100,100,96,Sensor Readings,0,1
5,500,4500,140,Sensor Readings,0,0
2,23,861,136,Sensor Readings,0,0
7,8926,7711,96,Sensor Readings,0,0
14,560,1690,131,Image Outline,1,0
4,24,88,350,Image Outline,1,0
14,200,2050,131,Image Outline,1,1
50,450,455,270,Image Outline,0,1
7,175,175,463,Image Outline,0,0
2,3601,1320,500,Sensor Readings,1,0
2,3636,810,500,Sensor Readings,0,0
2,50,150,150,Motion Sensors,0,0
2,109,105,431,Sensor Readings,0,0
2,1000,370,2709,Image Outline,1,0
5,155,308,1092,Motion Sensors,1,0
2,64,64,512,Image Outline,1,0
7,100,550,1882,Motion Sensors,1,0
11,220,1980,256,Sensor Readings,0,1
2,67,1029,24,Sensor Readings,0,1
3,375,375,720,Sensor Readings,1,0
2,60,61,637,Sensor Readings,0,1
7,70,73,319,Sensor Readings,1,0
8,55,2345,1024,Synthetic,1,0
3,60,60,448,Sensor Readings,0,0
10,381,760,99,Image Outline,0,0
3,400,154,80,Image Outline,1,0
2,600,291,80,Image Outline,1,0
6,399,154,80,Image Outline,1,0
2,20,1252,84,Sensor Readings,1,0
42,1800,1965,750,Sensor Readings,1,0
42,1800,1965,750,Sensor Readings,1,0
4,30,30,570,Sensor Readings,1,0
6,200,242,427,Image Outline,0,1
2,1800,858,80,Image Outline,0,0
39,214,1896,1024,Sensor Readings,0,0
7,105,105,144,Image Outline,1,0
3,400,205,80,Image Outline,1,0
2,600,291,80,Image Outline,1,0
6,400,205,80,Image Outline,1,0
3,375,375,720,Sensor Readings,1,0
3,375,375,720,Sensor Readings,1,0
2,20,180,500,Synthetic,1,0
60,600,600,512,Image Outline,1,0
3,375,375,720,Sensor Readings,1,0
2,20,601,70,Sensor Readings,1,0
2,27,953,65,Sensor Readings,1,0
3,1000,8236,1024,Sensor Readings,1,1
2,613,370,235,Sensor Readings,1,1
15,500,625,128,Image Outline,1,1
6,25,995,398,Image Outline,1,0
6,300,300,60,Synthetic,1,0
2,40,228,277,Motion Sensors,1,0
2,36,130,343,Motion Sensors,1,0
4,100,100,275,Sensor Readings,0,0
4,1000,4000,128,Synthetic,1,1
2,23,1139,82,Sensor Readings,0,0
8,896,3582,315,Motion Sensors,1,1
8,896,3582,315,Motion Sensors,1,1
8,896,3582,315,Motion Sensors,1,1
8,896,3582,945,Motion Sensors,0,1
2,1000,6174,152,Sensor Readings,1,0
2,57,54,234,Sensor Readings,1,1
25,267,638,270,Image Outline,0,1
5,181,77,900,Image Outline,1,0
2,181,77,900,Image Outline,1,0
2,300,3000,426,Image Outline,1,0