Dataset,Classes,N Train,N test,length n,Type,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble),MLP,CNN,ResNet,With Attention,Without Attention
Adiac,37,390,391,176,Image Outline,0.8312,0.611,0.604,0.76471,0.5632,0.76982,0.78261,0.66496,0.79028,0.752,0.857,0.826,0.8593,0.8849
ArrowHead,3,36,175,251,Image Outline,0.85714,0.8,0.663,0.83429,0.84571,0.75429,0.73714,0.81143,0.81143,0.823,0.88,0.817,0.891,0.8971
Beef,5,30,30,470,Sensor Readings,0.76667,0.667,0.633,0.8,0.76,0.56667,0.9,0.63333,0.86667,0.833,0.75,0.767,0.9,0.933
BeetleFly,2,20,20,512,Image Outline,0.95,0.7,0.7,0.9,0.8,0.8,0.9,0.75,0.8,0.85,0.95,0.8,0.95,1
BirdChicken,2,20,20,512,Image Outline,0.8,0.7,0.75,0.95,0.8,0.9,0.8,0.8,0.9,0.8,0.95,0.9,0.9,0.95
car,4,60,60,512,Image Outline,0.86667,0.767,0.733,0.83333,0.76667,0.78333,0.91667,0.83333,0.9,0.833,0.917,0.933,0.8333,0.967
CBF,3,30,900,128,Synthetic,0.98333,0.994,0.997,0.99778,0.9944,0.98778,0.97444,0.99778,0.99556,0.86,1,0.994,1,1
ChlorineConcentration,3,467,3840,166,Sensor Readings,0.7526,0.65,0.648,0.66094,0.6514,0.69245,0.69974,0.65625,0.72708,0.872,0.843,0.828,1,1
CinC_ECG_torso,4,40,1380,1639,Sensor Readings,0.99348,0.93,0.651,0.88696,0.833,0.71232,0.95435,0.94203,0.99493,0.842,0.813,0.771,0.7833,0.8253
Coffee,2,28,28,286,Sensor Readings,1,1,1,1,1,1,0.96429,1,1,1,1,1,1,1
Computers,2,250,250,720,Sensor Readings,0.656,0.62,0.7,0.756,0.584,0.756,0.736,0.708,0.74,0.54,0.848,0.824,0.804,0.848
Cricket_X,12,390,390,300,Motion Sensors,0.7641,0.772,0.754,0.7359,0.7908,0.70513,0.77179,0.81282,0.80769,0.569,0.815,0.821,0.8128,0.8256
Cricket_Y,12,390,390,300,Motion Sensors,0.78974,0.762,0.744,0.75385,0.7513,0.7359,0.77949,0.80513,0.82564,0.595,0.792,0.805,0.8025,0.8154
Cricket_Z,12,390,390,300,Motion Sensors,0.78718,0.746,0.754,0.74615,0.7995,0.71538,0.78718,0.78205,0.81538,0.592,0.813,0.813,0.8205,0.8257
DiatomSizeReduction,4,16,306,345,Image Outline,0.88562,0.935,0.967,0.93137,0.9667,0.89869,0.92484,0.94444,0.9281,0.964,0.93,0.931,0.9706,0.9771
DistalPhalanxOutlineAgeGroup,3,400,139,80,Image Outline,0.76978,0.626,0.77,0.77,0.77899,0.78261,0.77536,0.72826,0.76087,0.827,0.835,0.798,0.86,0.86
DistalPhalanxOutlineCorrect,2,600,276,80,Image Outline,0.77899,0.725,0.717,0.739,0.71942,0.71223,0.76978,0.69065,0.7482,0.81,0.812,0.82,0.8283,0.8233
DistalPhalanxTW,6,400,139,80,Image Outline,0.67626,0.633,0.59,0.705,0.6259,0.67626,0.66187,0.64748,0.69784,0.747,0.79,0.74,0.82,0.815
Earthquakes,2,322,139,512,Sensor Readings,0.7482,0.727,0.719,0.748,0.74101,0.7482,0.74101,0.74101,0.7482,0.792,0.801,0.786,0.8299,0.8323
ECG200,2,100,100,96,Sensor Readings,0.85,0.88,0.77,0.87,0.874,0.84,0.83,0.88,0.88,0.92,0.9,0.87,0.92,0.92
ECG5000,5,500,4500,140,Sensor Readings,0.94822,0.925,0.75,0.94133,0.93222,0.93956,0.94378,0.93867,0.946,0.935,0.941,0.931,0.9431,0.9478
ECGFiveDays,2,23,861,136,Sensor Readings,1,0.797,0.768,1,1,0.87689,0.98374,0.81998,0.99884,0.97,0.985,0.955,0.9884,0.9942
ElectricDevices,7,8926,7711,96,Sensor Readings,0.73285,0.625,0.601,0.79925,0.58747,0.7025,0.74698,0.66295,0.71327,0.58,0.723,0.728,0.7373,0.7497
FaceAll,14,560,1690,131,Image Outline,0.78698,0.808,0.808,0.78166,0.7825,0.74438,0.7787,0.84852,0.91775,0.885,0.929,0.834,0.9337,0.968
FaceFour,4,24,88,350,Image Outline,1,0.886,0.83,1,0.9522,1,0.85227,0.90909,0.89773,0.83,0.932,0.932,0.9431,0.9772
FacesUCR,14,200,2050,131,Image Outline,0.9522,0.912,0.905,0.95707,0.9413,0.86683,0.90585,0.94488,0.94244,0.815,0.948,0.958,0.9522,0.9898
FiftyWords,50,450,455,270,Image Outline,0.81099,0.765,0.69,0.70549,0.7681,0.75824,0.70549,0.81978,0.7978,0.712,0.679,0.727,0.7363,0.7318
Fish,7,175,175,463,Image Outline,0.96571,0.846,0.823,0.98857,0.9337,0.83429,0.98857,0.96571,0.98286,0.874,0.971,0.989,0.9829,0.9886
FordA,2,3601,1320,500,Sensor Readings,0.97273,0.691,0.555,0.914,0.95682,0.85,0.97121,0.73788,0.95682,0.769,0.906,0.928,0.9,0.9733
FordB,2,3636,810,500,Sensor Readings,0.8321,0.607,0.62,0.82,0.91728,0.59877,0.80741,0.66173,0.8037,0.629,0.883,0.9,0.8947,0.9186
Gun_Point,2,50,150,150,Motion Sensors,1,0.913,0.907,1,1,0.98667,1,0.99333,1,0.933,1,0.993,1,1
Ham,2,109,105,431,Sensor Readings,0.65714,0.6,0.467,0.66667,0.66667,0.7619,0.68571,0.57143,0.64762,0.714,0.762,0.781,0.7905,0.8
HandOutlines,2,1000,370,2709,Image Outline,0.94865,0.862,0.881,0.911,0.48108,0.85405,0.93243,0.88919,0.91892,0.807,0.776,0.861,0.829,0.865
Haptics,5,155,308,1092,Motion Sensors,0.38636,0.412,0.377,0.46104,0.4682,0.49026,0.52273,0.39286,0.52273,0.461,0.551,0.506,0.5325,0.5617
Herring,2,64,64,512,Image Outline,0.65625,0.531,0.531,0.54688,0.625,0.64063,0.67188,0.57813,0.625,0.687,0.703,0.594,0.7031,0.75
InlineSkate,7,100,550,1882,Motion Sensors,0.61273,0.387,0.384,0.51636,0.4273,0.38545,0.37273,0.46,0.49455,0.351,0.411,0.365,0.2472,0.42
InsectWingbeatSound,11,220,1980,256,Sensor Readings,0.6404,0.578,0.355,0.52323,0.60606,0.62475,0.62677,0.59495,0.65253,0.631,0.402,0.531,0.65404,0.6696
ItalyPowerDemand,2,67,1029,24,Sensor Readings,0.95141,0.955,0.95,0.90865,0.9695,0.88338,0.94752,0.9621,0.96113,0.966,0.97,0.96,0.9728,0.9699
LargeKitchenAppliances,3,375,375,720,Sensor Readings,0.68267,0.795,0.795,0.76533,0.70133,0.528,0.85867,0.81067,0.84533,0.48,0.896,0.893,0.8373,0.912
Lighting2,2,60,61,637,Sensor Readings,0.55738,0.869,0.869,0.83607,0.823,0.7377,0.7377,0.88525,0.86885,0.721,0.803,0.754,0.8361,0.8197
Lighting7,7,70,73,319,Sensor Readings,0.71233,0.712,0.726,0.68493,0.8027,0.72603,0.72603,0.76712,0.80822,0.644,0.863,0.836,0.6712,0.9178
MALLAT,8,55,2345,1024,Synthetic,0.96546,0.914,0.934,0.93817,0.9543,0.96034,0.96418,0.93987,0.95394,0.936,0.98,0.979,0.8964,0.98
Meat,3,60,60,448,Sensor Readings,0.91667,0.933,0.933,0.9,0.73333,0.93333,0.85,0.93333,0.91667,0.933,0.967,1,0.9833,1
MedicalImages,10,381,760,99,Image Outline,0.74079,0.747,0.737,0.71842,0.7295,0.70526,0.66974,0.74211,0.75789,0.729,0.792,0.772,0.7842,0.8066
MiddlePhalanxOutlineAgeGroup,3,400,154,80,Image Outline,0.6039,0.519,0.5,0.565,0.78007,0.81443,0.79381,0.78351,0.80412,0.735,0.768,0.76,0.805,0.815
MiddlePhalanxOutlineCorrect,2,600,291,80,Image Outline,0.80756,0.766,0.698,0.77,0.57143,0.57792,0.64286,0.55844,0.63636,0.76,0.795,0.793,0.8266,0.8333
MiddlePhalanxTW,6,399,154,80,Image Outline,0.53896,0.506,0.506,0.526,0.50649,0.5974,0.51948,0.51299,0.57143,0.609,0.612,0.607,0.6241,0.6466
MoteStrain,2,20,1252,84,Sensor Readings,0.9353,0.866,0.835,0.87859,0.9129,0.90335,0.89696,0.88259,0.9369,0.869,0.95,0.895,0.9097,0.9569
NonInvasiveFatalECG_Thorax1,42,1800,1965,750,Sensor Readings,0.92875,0.811,0.79,0.83817,0.8692,0.84224,0.94962,0.8458,0.9313,0.942,0.961,0.948,0.9237,0.9657
NonInvasiveFatalECG_Thorax2,42,1800,1965,750,Sensor Readings,0.94148,0.88,0.865,0.90076,0.9114,0.86158,0.95115,0.91349,0.94555,0.943,0.955,0.951,0.9563,0.9593
OliveOil,4,30,30,570,Sensor Readings,0.93333,0.867,0.833,0.86667,0.44,0.83333,0.9,0.86667,0.9,0.4,0.833,0.867,0.9,0.933333
OSULeaf,6,200,242,427,Image Outline,0.89669,0.612,0.591,0.95455,0.8182,0.76033,0.96694,0.80579,0.96694,0.57,0.988,0.979,0.9958,0.9917
PhalangesOutlinesCorrect,2,1800,858,80,Image Outline,0.81702,0.761,0.728,0.77156,0.76457,0.82984,0.7634,0.77273,0.7704,0.83,0.826,0.825,0.8368,0.8392
Phoneme,39,214,1896,1024,Sensor Readings,0.32648,0.227,0.228,0.26477,0.21835,0.27637,0.32068,0.30485,0.34916,0.098,0.345,0.324,0.3544,0.3539
plane,7,105,105,144,Image Outline,1,1,1,1,1,1,1,1,1,0.981,1,1,1,1
ProximalPhalanxOutlineAgeGroup,3,400,205,80,Image Outline,0.84878,0.785,0.805,0.8488,0.8488,0.87285,0.88316,0.80756,0.86942,0.824,0.849,0.849,0.8927,0.8878
ProximalPhalanxOutlineCorrect,2,600,291,80,Image Outline,0.89691,0.79,0.784,0.83415,0.83415,0.84878,0.8439,0.80488,0.85366,0.887,0.9,0.918,0.9347,0.9318
ProximalPhalanxTW,6,400,205,80,Image Outline,0.80976,0.756,0.756,0.815,0.77561,0.80976,0.80488,0.76585,0.78049,0.797,0.81,0.807,0.84,0.829
RefrigerationDevices,3,375,375,720,Sensor Readings,0.53867,0.44,0.464,0.49867,0.51467,0.472,0.58133,0.43733,0.54667,0.371,0.533,0.528,0.5867,0.5947
ScreenType,3,375,375,720,Sensor Readings,0.54667,0.411,0.397,0.464,0.42933,0.50933,0.52,0.44533,0.54667,0.408,0.667,0.707,0.6507,0.7073
ShapeletSim,2,20,180,500,Synthetic,1,0.7,0.65,1,0.95,0.96111,0.95556,0.81667,0.96111,0.483,0.867,1,0.9611,1
ShapesAll,60,600,600,512,Image Outline,0.91833,0.802,0.768,0.90833,0.76833,0.185,0.84167,0.86667,0.89167,0.775,0.898,0.912,0.9017,0.915
SmallKitchenAppliances,3,375,375,720,Sensor Readings,0.78933,0.672,0.643,0.72533,0.664,0.672,0.792,0.696,0.776,0.389,0.803,0.797,0.78933,0.8133
SonyAIBORobot Surface,2,20,601,70,Sensor Readings,0.82363,0.696,0.725,0.63228,0.8974,0.79534,0.84359,0.70383,0.84526,0.727,0.968,0.985,0.9861,0.9967
SonyAIBORobot SurfaceII,2,27,953,65,Sensor Readings,0.93494,0.859,0.831,0.85939,0.9184,0.77754,0.93389,0.87828,0.95173,0.839,0.962,0.962,0.9748,0.9769
StarlightCurves,3,1000,8236,1024,Sensor Readings,0.97729,0.905,0.907,0.97778,0.9665,0.97705,0.97851,0.92606,0.9796,0.957,0.967,0.975,0.9771,0.9763
Strawberry,2,613,370,235,Sensor Readings,0.97568,0.946,0.941,0.976,0.91081,0.95405,0.96216,0.94595,0.95135,0.967,0.969,0.958,0.981,0.9864
SwedishLeaf,15,500,625,128,Image Outline,0.9664,0.846,0.792,0.9216,0.913,0.9152,0.928,0.9152,0.9552,0.893,0.966,0.958,0.9808,0.984
Symbols,6,25,995,398,Image Outline,0.96181,0.938,0.95,0.96683,0.9644,0.94573,0.88241,0.9598,0.96382,0.853,0.962,0.872,0.9809,0.9849
synthetic_control,6,300,300,60,Synthetic,0.99333,0.983,0.993,0.96667,0.9927,0.99333,0.98333,1,1,0.95,0.99,1,0.9867,1
ToeSegmentation1,2,40,228,277,Motion Sensors,0.94737,0.75,0.772,0.9386,0.93421,0.7807,0.96491,0.82895,0.97368,0.601,0.969,0.965,0.6537,0.9737
ToeSegmentation2,2,36,130,343,Motion Sensors,0.90769,0.908,0.838,0.96154,0.91538,0.8,0.90769,0.89231,0.91538,0.746,0.915,0.862,0.9307,0.923
Trace,4,100,100,275,Sensor Readings,1,0.99,1,1,1,0.98,1,0.99,1,0.82,1,1,1,1
Two_Patterns,4,1000,4000,128,Synthetic,0.98975,0.998,1,0.98068,0.997,0.86567,0.99737,0.99298,0.99298,0.886,0.897,1,0.9928,0.9973
TwoLeadECG,2,23,1139,82,Sensor Readings,0.99824,0.868,0.904,0.993,0.9974,0.97625,0.955,1,1,0.853,1,1,1,1
uWaveGestureLibrary_X,8,896,3582,315,Motion Sensors,0.8096,0.773,0.728,0.76214,0.7998,0.83082,0.8029,0.80542,0.82189,0.768,0.754,0.787,0.8026,0.8498
uWaveGestureLibrary_Y,8,896,3582,315,Motion Sensors,0.72473,0.699,0.634,0.68509,0.7129,0.73618,0.73032,0.72557,0.75851,0.703,0.725,0.668,0.7289,0.7629
uWaveGestureLibrary_Z,8,896,3582,315,Motion Sensors,0.76996,0.678,0.658,0.69486,0.7315,0.77247,0.74846,0.72362,0.75042,0.705,0.729,0.755,0.755,0.7993
UWaveGestureLibraryAll,8,896,3582,945,Motion Sensors,0.95031,0.966,0.892,0.93886,0.95338,0.9263,0.94221,0.96845,0.96427,0.954,0.826,0.868,0.9574,0.9606
wafer,2,1000,6174,152,Sensor Readings,1,0.995,0.98,0.99481,0.9962,0.99513,1,0.9974,0.99984,0.996,0.997,0.997,0.9985,1
Wine,2,57,54,234,Sensor Readings,0.85185,0.611,0.574,0.74074,0.5,0.61111,0.7963,0.57407,0.64815,0.796,0.889,0.796,0.9259,0.889
WordsSynonyms,25,267,638,270,Image Outline,0.72414,0.748,0.649,0.63793,0.6602,0.68809,0.57053,0.779,0.75705,0.594,0.58,0.632,0.6959,0.6991
Worms,5,181,77,900,Image Outline,0.80519,0.532,0.584,0.74,0.61039,0.68831,0.74026,0.66234,0.62338,0.343,0.669,0.619,0.7017,0.6851
WormsTwoClass,2,181,77,900,Image Outline,0.80519,0.584,0.623,0.792,0.72727,0.75325,0.83117,0.68831,0.80519,0.597,0.729,0.735,0.7791,0.8066
yoga,2,300,3000,426,Image Outline,0.909,0.844,0.836,0.91833,0.8499,0.81933,0.81767,0.879,0.87667,0.855,0.845,0.858,0.90466,0.91266
